timestamp,market_id,slug,ttr_seconds,spread_pct,spread_blocked_reason,yes_price_t0,no_price_t0,clob_spread_t0,yes_depth_t0,no_depth_t0,depth_imbalance_t0,price_velocity_30s,depth_trend_30s,btc_realized_vol_prior_30m,ttr_at_signal,market_hour_utc,day_of_week,shadow_signal_yes,shadow_prob_yes,shadow_kelly_yes,shadow_tier_yes,shadow_signal_no,shadow_prob_no,shadow_kelly_no,shadow_tier_no,actual_outcome
2026-06-02T07:35:04.898628+00:00,0x7e3b43e0776c8101ca2082c12448f74a0d5b35fb988c458398606440ad6faa38,btc-updown-5m-1780385700,295.1,0.139413,TOO_WIDE,0.495,0.495,0.01,100.0,100.0,0.0,0.0,0.0,0.788854,295.1,7,1,SKIP,0.624768,0.0034,MEDIUM,SKIP,0.624768,0.0034,MEDIUM,WIN
2026-06-02T07:35:15.437211+00:00,0x7e3b43e0776c8101ca2082c12448f74a0d5b35fb988c458398606440ad6faa38,btc-updown-5m-1780385700,284.6,0.142442,TOO_WIDE,0.01,0.01,0.42,233.02,376.89,-0.23588,-0.019,0.0,0.788854,284.6,7,1,SKIP,0.318284,0.3095,LOW,SKIP,0.395627,0.3878,LOW,WIN
2026-06-02T07:35:25.574029+00:00,0x7e3b43e0776c8101ca2082c12448f74a0d5b35fb988c458398606440ad6faa38,btc-updown-5m-1780385700,274.4,0.139513,TOO_WIDE,0.01,0.01,0.38,365.09,241.2,0.204338,-0.02033333,0.0,0.788854,274.4,7,1,SKIP,0.395627,0.3878,LOW,SKIP,0.318284,0.3095,LOW,WIN
2026-06-02T07:35:35.683893+00:00,0x7e3b43e0776c8101ca2082c12448f74a0d5b35fb988c458398606440ad6faa38,btc-updown-5m-1780385700,264.3,0.146721,TOO_WIDE,0.01,0.01,0.4,164.85,754.18,-0.641246,-0.02066667,0.0,0.788854,264.3,7,1,SKIP,0.324852,0.3161,LOW,SKIP,0.349813,0.3414,LOW,WIN
2026-06-02T07:35:46.421788+00:00,0x7e3b43e0776c8101ca2082c12448f74a0d5b35fb988c458398606440ad6faa38,btc-updown-5m-1780385700,253.6,0.141541,TOO_WIDE,0.01,0.01,0.33,154.69,803.65,-0.677163,-0.019,0.0,0.788854,253.6,7,1,SKIP,0.324852,0.3161,LOW,SKIP,0.349813,0.3414,LOW,WIN
2026-06-02T07:35:56.666557+00:00,0x7e3b43e0776c8101ca2082c12448f74a0d5b35fb988c458398606440ad6faa38,btc-updown-5m-1780385700,243.3,0.151304,TOO_WIDE,0.01,0.01,0.49,178.86,299.96,-0.252925,-0.019,0.0,0.788854,243.3,7,1,SKIP,0.318284,0.3095,LOW,SKIP,0.395627,0.3878,LOW,WIN
2026-06-02T07:36:07.136544+00:00,0x7e3b43e0776c8101ca2082c12448f74a0d5b35fb988c458398606440ad6faa38,btc-updown-5m-1780385700,232.9,0.152255,TOO_WIDE,0.01,0.01,0.53,769.34,114.4,0.741096,-0.015,0.0,1.03083,232.9,7,1,SKIP,0.351677,0.3433,LOW,SKIP,0.324852,0.3161,LOW,WIN
2026-06-02T07:36:17.624748+00:00,0x7e3b43e0776c8101ca2082c12448f74a0d5b35fb988c458398606440ad6faa38,btc-updown-5m-1780385700,222.4,0.155936,TOO_WIDE,0.01,0.01,0.72,676.87,352.58,0.315008,-0.01233333,0.0,1.03083,222.4,7,1,SKIP,0.395627,0.3878,LOW,SKIP,0.318284,0.3095,LOW,WIN
2026-06-02T07:36:27.744602+00:00,0x7e3b43e0776c8101ca2082c12448f74a0d5b35fb988c458398606440ad6faa38,btc-updown-5m-1780385700,212.3,0.158695,TOO_WIDE,0.01,0.01,0.81,1281.26,29.99,0.954252,-0.00733333,0.0,1.03083,212.3,7,1,SKIP,0.351447,0.3431,LOW,SKIP,0.296914,0.2878,LOW,WIN
2026-06-02T07:36:38.094583+00:00,0x7e3b43e0776c8101ca2082c12448f74a0d5b35fb988c458398606440ad6faa38,btc-updown-5m-1780385700,201.9,0.149258,TOO_WIDE,0.01,0.01,0.92,2583.57,39.92,0.969565,-0.005,0.0,1.03083,201.9,7,1,SKIP,0.351447,0.3431,LOW,SKIP,0.296914,0.2878,LOW,WIN
