trade_id,entry_odds,p_win_raw,p_win_clamped,kelly_raw,kelly_final,bet_size,outcome,gross_payout,net_payout_after_fee,capital_after,trailing_wr_20,circuit_breaker_active
1,0.2300,0.2712,0.2712,0.0535,0.0134,0.6686,LOSS,-0.6686,-0.6686,49.3314,,False
2,0.1700,0.2712,0.2712,0.1219,0.0305,1.5035,LOSS,-1.5035,-1.5035,47.8279,,False
3,0.6300,0.7949,0.7949,0.4456,0.1000,4.7828,WIN,2.8089,2.8089,50.6368,0.3333,False
4,0.6500,0.7308,0.7308,0.2308,0.0577,2.9214,WIN,1.5730,1.5730,52.2099,0.5000,False
5,0.6300,0.7308,0.7308,0.2723,0.0681,3.5548,WIN,2.0878,2.0878,54.2976,0.6000,False
6,0.1300,0.2712,0.2712,0.1623,0.0406,2.2029,LOSS,-2.2029,-2.2029,52.0947,0.5000,False
7,0.1600,0.2712,0.2712,0.1324,0.0331,1.7239,WIN,9.0504,9.0504,61.1451,0.5714,False
8,0.6900,0.7949,0.7949,0.3383,0.0846,5.1713,WIN,2.3233,2.3233,63.4684,0.6250,False
9,0.1100,0.2712,0.2712,0.1811,0.0453,2.8737,LOSS,-2.8737,-2.8737,60.5947,0.5556,False
10,0.2600,0.2712,0.2712,0.0151,0.0038,0.2290,LOSS,-0.2290,-0.2290,60.3657,0.5000,False
11,0.7500,0.8421,0.8421,0.3684,0.0921,5.5600,WIN,1.8533,1.8533,62.2191,0.5455,False
12,0.1600,0.4545,0.4545,0.3506,0.0877,5.4543,LOSS,-5.4543,-5.4543,56.7648,0.5000,False
13,0.2200,0.2712,0.2712,0.0656,0.0164,0.9313,LOSS,-0.9313,-0.9313,55.8335,0.4615,False
14,0.2100,0.2712,0.2712,0.0775,0.0194,1.0811,LOSS,-1.0811,-1.0811,54.7524,0.4286,False
15,0.1100,0.2712,0.2712,0.1811,0.0453,2.4790,LOSS,-2.4790,-2.4790,52.2734,0.4000,False
16,0.1400,0.2712,0.2712,0.1525,0.0381,1.9935,LOSS,-1.9935,-1.9935,50.2799,0.3750,False
