trade_id,entry_odds,p_win_raw,p_win_clamped,kelly_raw,kelly_final,bet_size,outcome,gross_payout,net_payout_after_fee,capital_after,trailing_wr_20,circuit_breaker_active
1,0.2300,0.2712,0.3000,0.0909,0.0227,1.1364,LOSS,-1.1364,-1.1464,48.8536,,False
2,0.1700,0.2712,0.3000,0.1566,0.0300,1.4656,LOSS,-1.4656,-1.4756,47.3780,,False
3,0.6300,0.7949,0.7200,0.2432,0.0300,1.4213,WIN,0.8348,0.8039,48.1819,0.3333,False
4,0.6500,0.7308,0.7200,0.2000,0.0300,1.4455,WIN,0.7783,0.7489,48.9308,0.5000,False
5,0.6300,0.7308,0.7200,0.2432,0.0300,1.4679,WIN,0.8621,0.8306,49.7613,0.6000,False
6,0.1300,0.2712,0.3000,0.1954,0.0300,1.4928,LOSS,-1.4928,-1.5028,48.2585,0.5000,False
7,0.1600,0.2712,0.3000,0.1667,0.0300,1.4478,WIN,7.6007,7.4007,55.6592,0.5714,False
8,0.6900,0.7949,0.7200,0.0968,0.0242,1.3466,WIN,0.6050,0.5799,56.2391,0.6250,False
9,0.1100,0.2712,0.3000,0.2135,0.0300,1.6872,LOSS,-1.6872,-1.6972,54.5419,0.5556,False
10,0.2600,0.2712,0.3000,0.0541,0.0135,0.7371,LOSS,-0.7371,-0.7471,53.7948,0.5000,False
11,0.1600,0.4545,0.4545,0.3506,0.0300,1.6138,LOSS,-1.6138,-1.6238,52.1710,0.4545,False
12,0.2200,0.2712,0.3000,0.1026,0.0256,1.3377,LOSS,-1.3377,-1.3477,50.8233,0.4167,False
13,0.2100,0.2712,0.3000,0.1139,0.0285,1.4475,LOSS,-1.4475,-1.4575,49.3658,0.3846,False
14,0.1100,0.2712,0.3000,0.2135,0.0300,1.4810,LOSS,-1.4810,-1.4910,47.8748,0.3571,False
15,0.1400,0.2712,0.3000,0.1860,0.0300,1.4362,LOSS,-1.4362,-1.4462,46.4286,0.3333,False
16,0.1100,0.2712,0.3000,0.2135,0.0300,1.3929,LOSS,-1.3929,-1.4029,45.0257,0.3125,False
17,0.2500,0.2712,0.3000,0.0667,0.0167,0.7504,LOSS,-0.7504,-0.7604,44.2653,0.2941,False
18,0.2600,0.2712,0.3000,0.0541,0.0135,0.5982,LOSS,-0.5982,-0.6082,43.6571,0.2778,False
19,0.2300,0.2712,0.3000,0.0909,0.0227,0.9922,LOSS,-0.9922,-1.0022,42.6549,0.2632,False
20,0.2200,0.2712,0.3000,0.1026,0.0256,1.0937,LOSS,-1.0937,-1.1037,41.5512,0.2500,False
