ttr_bucket,dist_bucket,odds_bucket,n,win_rate,avg_net_ev,status
1.5 - 3 min,$15 - $30,0.15 - 0.25,37,0.2972972972972973,0.3494568543996462,✅ +EV
1.5 - 3 min,$15 - $30,0.25 - 0.40,92,0.2608695652173913,-0.19794469807388568,❌ -EV
1.5 - 3 min,$15 - $30,0.40 - 0.55,69,0.43478260869565216,-0.13600428879624854,❌ -EV
1.5 - 3 min,$15 - $30,0.55 - 0.70,44,0.75,0.16981995564134525,✅ +EV
1.5 - 3 min,$15 - $30,< 0.15,8,0.125,-0.06375000000000008,⚠️ LOW_N
1.5 - 3 min,$15 - $30,> 0.70,12,0.75,-0.027877376555501654,⚠️ LOW_N
1.5 - 3 min,$30 - $60,0.15 - 0.25,42,0.11904761904761904,-0.3994496238270636,❌ -EV
1.5 - 3 min,$30 - $60,0.25 - 0.40,13,0.15384615384615385,-0.4559035409035409,⚠️ LOW_N
1.5 - 3 min,$30 - $60,0.40 - 0.55,16,0.5,-0.04542646522650633,❌ -EV
1.5 - 3 min,$30 - $60,0.55 - 0.70,49,0.6530612244897959,-0.029510250700828154,❌ -EV
1.5 - 3 min,$30 - $60,< 0.15,38,0.05263157894736842,-0.553456937799043,❌ -EV
1.5 - 3 min,$30 - $60,> 0.70,73,0.8493150684931506,0.056724845977121276,✅ +EV
1.5 - 3 min,$60 - $100,0.15 - 0.25,2,0.5,2.041875,⚠️ LOW_N
1.5 - 3 min,$60 - $100,0.55 - 0.70,8,1.0,0.42719681364080053,⚠️ LOW_N
1.5 - 3 min,$60 - $100,> 0.70,62,0.7580645161290323,-0.1469344529264151,❌ -EV
1.5 - 3 min,< $15,0.15 - 0.25,27,0.07407407407407407,-0.6662378167641326,❌ -EV
1.5 - 3 min,< $15,0.25 - 0.40,75,0.38666666666666666,0.09630978398628959,✅ +EV
1.5 - 3 min,< $15,0.40 - 0.55,57,0.47368421052631576,-0.03414847372830993,❌ -EV
1.5 - 3 min,< $15,0.55 - 0.70,18,0.7222222222222222,0.14607694447535802,✅ +EV
1.5 - 3 min,< $15,< 0.15,1,0.0,-1.0,⚠️ LOW_N
1.5 - 3 min,> $100,> 0.70,29,0.9310344827586207,-0.006425704484532575,❌ -EV
3 - 5 min,$15 - $30,0.15 - 0.25,18,0.2222222222222222,0.11782568330362449,✅ +EV
3 - 5 min,$15 - $30,0.25 - 0.40,52,0.25,-0.2757272461132755,❌ -EV
3 - 5 min,$15 - $30,0.40 - 0.55,49,0.5102040816326531,0.019506447284368244,✅ +EV
3 - 5 min,$15 - $30,0.55 - 0.70,42,0.47619047619047616,-0.2436523614692471,❌ -EV
3 - 5 min,$15 - $30,> 0.70,3,1.0,0.285787073704535,⚠️ LOW_N
3 - 5 min,$30 - $60,0.15 - 0.25,29,0.27586206896551724,0.3741171459724684,✅ +EV
3 - 5 min,$30 - $60,0.25 - 0.40,25,0.4,0.26632384190235237,✅ +EV
3 - 5 min,$30 - $60,0.40 - 0.55,9,0.6666666666666666,0.2756856682066766,⚠️ LOW_N
3 - 5 min,$30 - $60,0.55 - 0.70,65,0.7076923076923077,0.08962939503373062,✅ +EV
3 - 5 min,$30 - $60,< 0.15,3,0.0,-1.0,⚠️ LOW_N
3 - 5 min,$30 - $60,> 0.70,35,0.8,0.02839426387042502,✅ +EV
3 - 5 min,$60 - $100,0.15 - 0.25,1,0.0,-1.0,⚠️ LOW_N
3 - 5 min,$60 - $100,0.40 - 0.55,1,1.0,0.7627272727272727,⚠️ LOW_N
3 - 5 min,$60 - $100,0.55 - 0.70,10,0.9,0.3133735576320079,⚠️ LOW_N
3 - 5 min,$60 - $100,< 0.15,1,0.0,-1.0,⚠️ LOW_N
3 - 5 min,$60 - $100,> 0.70,41,0.6829268292682927,-0.17896371277959688,❌ -EV
3 - 5 min,< $15,0.15 - 0.25,6,0.3333333333333333,0.5019298245614036,⚠️ LOW_N
3 - 5 min,< $15,0.25 - 0.40,87,0.3333333333333333,-0.10567178983791961,❌ -EV
3 - 5 min,< $15,0.40 - 0.55,87,0.5057471264367817,0.04017481504699664,✅ +EV
3 - 5 min,< $15,0.55 - 0.70,21,0.42857142857142855,-0.31655152152911914,❌ -EV
3 - 5 min,> $100,> 0.70,30,1.0,0.12944115981627932,✅ +EV
< 1.5 min,$15 - $30,0.15 - 0.25,3,0.0,-1.0,⚠️ LOW_N
< 1.5 min,$15 - $30,0.25 - 0.40,3,0.0,-1.0,⚠️ LOW_N
< 1.5 min,$15 - $30,0.40 - 0.55,1,1.0,1.3114285714285714,⚠️ LOW_N
< 1.5 min,$15 - $30,> 0.70,1,1.0,0.3441666666666665,⚠️ LOW_N
< 1.5 min,$30 - $60,0.15 - 0.25,3,0.0,-1.0,⚠️ LOW_N
< 1.5 min,$30 - $60,0.55 - 0.70,1,1.0,0.7310714285714284,⚠️ LOW_N
< 1.5 min,$30 - $60,< 0.15,1,0.0,-1.0,⚠️ LOW_N
< 1.5 min,$30 - $60,> 0.70,3,1.0,0.14389322884579045,⚠️ LOW_N
< 1.5 min,$60 - $100,> 0.70,1,1.0,0.01631578947368406,⚠️ LOW_N
< 1.5 min,< $15,0.25 - 0.40,2,0.0,-1.0,⚠️ LOW_N
< 1.5 min,< $15,0.40 - 0.55,5,1.0,1.0684234148204736,⚠️ LOW_N
< 1.5 min,< $15,0.55 - 0.70,1,1.0,0.588360655737705,⚠️ LOW_N
