signal_id,timestamp,market_id,zone_id,reason,synthetic_edge,live_edge,executed
1,2026-04-29 15:05:49.554687+00:00,0x894b7bce267ccae854bb749d1b8fc1d17a9fd449a96d6a24576911294b489a5c,UNKNOWN,F2_SPREAD_FILTER_WAIT,0.0,0.0,False
2,2026-04-29 15:05:59.581335+00:00,0x894b7bce267ccae854bb749d1b8fc1d17a9fd449a96d6a24576911294b489a5c,UNKNOWN,F3_REGIME_FILTER,0.0,0.0,False
3,2026-04-29 15:06:09.605162+00:00,0x894b7bce267ccae854bb749d1b8fc1d17a9fd449a96d6a24576911294b489a5c,UNKNOWN,F3_REGIME_FILTER,0.0,0.0,False
4,2026-04-29 15:06:19.619235+00:00,0x894b7bce267ccae854bb749d1b8fc1d17a9fd449a96d6a24576911294b489a5c,UNKNOWN,F2_SPREAD_FILTER_WAIT,0.0,0.0,False
5,2026-04-29 15:06:29.643311+00:00,0x894b7bce267ccae854bb749d1b8fc1d17a9fd449a96d6a24576911294b489a5c,UNKNOWN,F3_REGIME_FILTER,0.0,0.0,False
6,2026-04-29 15:06:39.666795+00:00,0x894b7bce267ccae854bb749d1b8fc1d17a9fd449a96d6a24576911294b489a5c,UNKNOWN,F3_REGIME_FILTER,0.0,0.0,False
7,2026-04-29 15:06:49.679103+00:00,0x894b7bce267ccae854bb749d1b8fc1d17a9fd449a96d6a24576911294b489a5c,UNKNOWN,F2_SPREAD_FILTER_WAIT,0.0,0.0,False
8,2026-04-29 15:06:59.706164+00:00,0x894b7bce267ccae854bb749d1b8fc1d17a9fd449a96d6a24576911294b489a5c,UNKNOWN,F3_REGIME_FILTER,0.0,0.0,False
9,2026-04-29 15:07:09.729672+00:00,0x894b7bce267ccae854bb749d1b8fc1d17a9fd449a96d6a24576911294b489a5c,UNKNOWN,F3_REGIME_FILTER,0.0,0.0,False
10,2026-04-29 15:07:19.752874+00:00,0x894b7bce267ccae854bb749d1b8fc1d17a9fd449a96d6a24576911294b489a5c,UNKNOWN,F3_REGIME_FILTER,0.0,0.0,False
11,2026-04-29 15:07:29.775127+00:00,0x894b7bce267ccae854bb749d1b8fc1d17a9fd449a96d6a24576911294b489a5c,UNKNOWN,F3_REGIME_FILTER,0.0,0.0,False
12,2026-04-29 15:07:39.798954+00:00,0x894b7bce267ccae854bb749d1b8fc1d17a9fd449a96d6a24576911294b489a5c,UNKNOWN,F3_REGIME_FILTER,0.0,0.0,False
13,2026-04-29 15:07:49.823702+00:00,0x894b7bce267ccae854bb749d1b8fc1d17a9fd449a96d6a24576911294b489a5c,UNKNOWN,F3_REGIME_FILTER,0.0,0.0,False
14,2026-04-29 15:07:59.839579+00:00,0x894b7bce267ccae854bb749d1b8fc1d17a9fd449a96d6a24576911294b489a5c,UNKNOWN,F2_SPREAD_FILTER_WAIT,0.0,0.0,False
15,2026-04-29 15:08:09.862272+00:00,0x894b7bce267ccae854bb749d1b8fc1d17a9fd449a96d6a24576911294b489a5c,UNKNOWN,F3_REGIME_FILTER,0.0,0.0,False
16,2026-04-29 15:08:19.873102+00:00,0x894b7bce267ccae854bb749d1b8fc1d17a9fd449a96d6a24576911294b489a5c,UNKNOWN,F2_SPREAD_FILTER_WAIT,0.0,0.0,False
17,2026-04-29 15:08:29.895911+00:00,0x894b7bce267ccae854bb749d1b8fc1d17a9fd449a96d6a24576911294b489a5c,UNKNOWN,F3_REGIME_FILTER,0.0,0.0,False
18,2026-04-29 15:10:09.927457+00:00,0x154c24d5e93ab6b9e6926a48c3d74720dffd708a3b91fe993c77eb377e071509,UNKNOWN,F3_REGIME_FILTER,0.0,0.0,False
19,2026-04-29 15:10:19.949880+00:00,0x154c24d5e93ab6b9e6926a48c3d74720dffd708a3b91fe993c77eb377e071509,UNKNOWN,F3_REGIME_FILTER,0.0,0.0,False
20,2026-04-29 15:10:29.973435+00:00,0x154c24d5e93ab6b9e6926a48c3d74720dffd708a3b91fe993c77eb377e071509,UNKNOWN,F3_REGIME_FILTER,0.0,0.0,False
21,2026-04-29 15:10:39.986786+00:00,0x154c24d5e93ab6b9e6926a48c3d74720dffd708a3b91fe993c77eb377e071509,UNKNOWN,F2_SPREAD_FILTER_WAIT,0.0,0.0,False
22,2026-04-29 15:10:50.000261+00:00,0x154c24d5e93ab6b9e6926a48c3d74720dffd708a3b91fe993c77eb377e071509,UNKNOWN,F2_SPREAD_FILTER_WAIT,0.0,0.0,False
23,2026-04-29 15:11:00.010980+00:00,0x154c24d5e93ab6b9e6926a48c3d74720dffd708a3b91fe993c77eb377e071509,UNKNOWN,F2_SPREAD_FILTER_WAIT,0.0,0.0,False
24,2026-04-29 15:11:10.035477+00:00,0x154c24d5e93ab6b9e6926a48c3d74720dffd708a3b91fe993c77eb377e071509,UNKNOWN,F3_REGIME_FILTER,0.0,0.0,False
25,2026-04-29 15:11:20.046105+00:00,0x154c24d5e93ab6b9e6926a48c3d74720dffd708a3b91fe993c77eb377e071509,UNKNOWN,F2_SPREAD_FILTER_WAIT,0.0,0.0,False
26,2026-04-29 15:11:30.072418+00:00,0x154c24d5e93ab6b9e6926a48c3d74720dffd708a3b91fe993c77eb377e071509,UNKNOWN,F3_REGIME_FILTER,0.0,0.0,False
27,2026-04-29 15:11:40.095930+00:00,0x154c24d5e93ab6b9e6926a48c3d74720dffd708a3b91fe993c77eb377e071509,UNKNOWN,F3_REGIME_FILTER,0.0,0.0,False
28,2026-04-29 15:11:50.120745+00:00,0x154c24d5e93ab6b9e6926a48c3d74720dffd708a3b91fe993c77eb377e071509,UNKNOWN,F3_REGIME_FILTER,0.0,0.0,False
29,2026-04-29 15:12:00.143032+00:00,0x154c24d5e93ab6b9e6926a48c3d74720dffd708a3b91fe993c77eb377e071509,UNKNOWN,F3_REGIME_FILTER,0.0,0.0,False
30,2026-04-29 15:12:10.157435+00:00,0x154c24d5e93ab6b9e6926a48c3d74720dffd708a3b91fe993c77eb377e071509,UNKNOWN,F2_SPREAD_FILTER_SKIP,0.0,0.0,False
31,2026-04-29 15:12:20.183223+00:00,0x154c24d5e93ab6b9e6926a48c3d74720dffd708a3b91fe993c77eb377e071509,UNKNOWN,F3_REGIME_FILTER,0.0,0.0,False
32,2026-04-29 15:12:30.211529+00:00,0x154c24d5e93ab6b9e6926a48c3d74720dffd708a3b91fe993c77eb377e071509,UNKNOWN,F3_REGIME_FILTER,0.0,0.0,False
33,2026-04-29 15:12:40.237085+00:00,0x154c24d5e93ab6b9e6926a48c3d74720dffd708a3b91fe993c77eb377e071509,UNKNOWN,F3_REGIME_FILTER,0.0,0.0,False
34,2026-04-29 15:12:50.252419+00:00,0x154c24d5e93ab6b9e6926a48c3d74720dffd708a3b91fe993c77eb377e071509,UNKNOWN,F2_SPREAD_FILTER_WAIT,0.0,0.0,False
35,2026-04-29 15:13:00.278138+00:00,0x154c24d5e93ab6b9e6926a48c3d74720dffd708a3b91fe993c77eb377e071509,UNKNOWN,F3_REGIME_FILTER,0.0,0.0,False
36,2026-04-29 15:13:10.305156+00:00,0x154c24d5e93ab6b9e6926a48c3d74720dffd708a3b91fe993c77eb377e071509,UNKNOWN,F3_REGIME_FILTER,0.0,0.0,False
37,2026-04-29 15:13:20.318906+00:00,0x154c24d5e93ab6b9e6926a48c3d74720dffd708a3b91fe993c77eb377e071509,UNKNOWN,F2_SPREAD_FILTER_WAIT,0.0,0.0,False
38,2026-04-29 15:13:30.340963+00:00,0x154c24d5e93ab6b9e6926a48c3d74720dffd708a3b91fe993c77eb377e071509,UNKNOWN,F1_MIN_TTR,0.0,0.0,False
39,2026-04-29 15:15:10.374334+00:00,0xdadb7bbd608b23fe7a2d11d7c13c9b54c823ff73d3d0f084bd2d3678b06f53f7,UNKNOWN,F3_REGIME_FILTER,0.0,0.0,False
