trade_id,zone_id,reason,entry_time,entry_odds,ttr_minutes,distance_usd
4,NEUTRAL,NEUTRAL_ZONE,2026-04-27 05:21:15.343207+00:00,0.7,3.74449725,82.76313134601514
6,NEUTRAL,NEUTRAL_ZONE,2026-04-27 05:22:05.412934+00:00,0.66,2.9099621,81.64313134600525
10,A6,MAX_POSITIONS,2026-04-27 05:26:55.759458+00:00,0.74,3.07084825,120.36015610749018
11,NEUTRAL,NEUTRAL_ZONE,2026-04-27 05:32:06.147929+00:00,0.43,2.8978452166666666,3.6949299999978393
13,D3,DEATH_ZONE,2026-04-27 05:43:06.918752+00:00,0.19,1.8850269333333334,49.08357000000251
14,D3,DEATH_ZONE,2026-04-27 05:43:26.955489+00:00,0.21,1.5509207666666667,34.39357000001473
15,NEUTRAL,NEUTRAL_ZONE,2026-04-27 08:06:18.072265+00:00,0.42,3.6990409666666664,16.85465999999724
16,D5,DEATH_ZONE,2026-04-27 08:06:28.112451+00:00,0.36,3.5318624499999998,28.30466000000888
19,D3,DEATH_ZONE,2026-04-27 08:07:38.658556+00:00,0.18,2.3558797333333334,50.64466000000539
20,NEUTRAL,NEUTRAL_ZONE,2026-04-27 08:12:09.372400+00:00,0.27,2.8445161833333334,15.680129999993369
23,NEUTRAL,NEUTRAL_ZONE,2026-04-27 08:13:29.612749+00:00,0.27,1.5067396,17.549870000002556
24,D3,DEATH_ZONE,2026-04-27 08:22:00.589164+00:00,0.22,2.9904228166666664,54.66000000000349
25,NEUTRAL,NEUTRAL_ZONE,2026-04-27 08:23:10.777971+00:00,0.77,1.8206033499999998,55.729999999995925
27,NEUTRAL,NEUTRAL_ZONE,2026-04-27 08:27:21.227913+00:00,0.29,2.6464559333333333,31.00899999999092
28,NEUTRAL,NEUTRAL_ZONE,2026-04-27 08:31:11.637976+00:00,0.5,3.8063431499999996,9.1118099999876
29,NEUTRAL,NEUTRAL_ZONE,2026-04-27 08:31:21.672426+00:00,0.5,3.6390572999999997,10.281810000000405
30,NEUTRAL,NEUTRAL_ZONE,2026-04-27 08:31:41.722914+00:00,0.44,3.3047995,18.66181000000506
31,NEUTRAL,NEUTRAL_ZONE,2026-04-27 08:32:01.769897+00:00,0.41,2.9707164,18.66181000000506
32,NEUTRAL,NEUTRAL_ZONE,2026-04-27 08:33:32.009100+00:00,0.51,1.46681115,10.781810000000405
33,D1,DEATH_ZONE,2026-04-27 08:37:43.708287+00:00,0.24,2.2717885166666667,14.34218000000692
34,NEUTRAL,NEUTRAL_ZONE,2026-04-27 08:41:04.060980+00:00,0.76,3.932499466666667,54.57721824331384
35,D6,DEATH_ZONE,2026-04-27 08:41:24.123934+00:00,0.64,3.5981724833333333,24.427218243319658
36,NEUTRAL,NEUTRAL_ZONE,2026-04-27 08:41:44.190484+00:00,0.54,3.2637746,16.587218243308598
37,NEUTRAL,NEUTRAL_ZONE,2026-04-27 08:43:14.524604+00:00,0.34,1.7581148333333334,17.15721824330103
38,NEUTRAL,NEUTRAL_ZONE,2026-04-27 08:46:14.802504+00:00,0.85,3.7535033500000003,65.71464783929696
39,NEUTRAL,NEUTRAL_ZONE,2026-04-27 08:46:44.913494+00:00,0.86,3.2516804333333336,68.85964783928648
40,NEUTRAL,NEUTRAL_ZONE,2026-04-27 08:46:54.947038+00:00,0.9,3.0845365166666667,76.30464783929347
41,NEUTRAL,NEUTRAL_ZONE,2026-04-27 08:47:55.100390+00:00,0.92,2.0819520333333332,71.47464783927717
42,NEUTRAL,NEUTRAL_ZONE,2026-04-27 08:51:15.596882+00:00,0.41,3.7402791833333335,4.6780000000144355
43,NEUTRAL,NEUTRAL_ZONE,2026-04-27 08:56:16.068556+00:00,0.42,3.7324165,2.228037097811466
44,NEUTRAL,NEUTRAL_ZONE,2026-04-27 08:58:06.467096+00:00,0.71,1.8924614,21.733037097816123
