trade_id,zone_id,entry_odds,bet_size,pnl,outcome,capital_before,capital_after,entry_time,resolution_time
1,A8,0.61,22.0,12.94393442622951,WIN,100.0,112.9439344262295,2026-04-27 05:06:14.354353+00:00,2026-04-27 05:10:00.043066+00:00
2,A8,0.63,22.0,11.827619047619045,WIN,112.9439344262295,124.77155347384854,2026-04-27 05:06:34.409635+00:00,2026-04-27 05:10:00.010536+00:00
3,A6,0.92,31.0,1.5432608695652164,WIN,124.77155347384854,126.31481434341376,2026-04-27 05:16:45.082717+00:00,2026-04-27 05:20:00.017341+00:00
5,A8,0.56,27.0,19.738928571428566,WIN,126.31481434341376,146.05374291484233,2026-04-27 05:21:45.388240+00:00,2026-04-27 05:25:00.010885+00:00
7,A6,0.77,36.0,9.224415584415581,WIN,146.05374291484233,155.27815849925793,2026-04-27 05:26:15.686100+00:00,2026-04-27 05:30:00.013676+00:00
8,A6,0.74,36.0,11.072432432432429,WIN,155.27815849925793,166.35059093169036,2026-04-27 05:26:25.702137+00:00,2026-04-27 05:30:00.009855+00:00
9,A6,0.77,15.0,3.843506493506492,WIN,166.35059093169036,170.19409742519684,2026-04-27 05:26:35.722815+00:00,2026-04-27 05:30:00.014766+00:00
12,A7,0.34,14.0,-14.0,LOSS,170.19409742519684,156.19409742519684,2026-04-27 05:42:16.823999+00:00,2026-04-27 05:45:00.010532+00:00
17,A3,0.31,16.0,-16.0,LOSS,156.19409742519684,140.19409742519684,2026-04-27 08:06:38.194296+00:00,2026-04-27 08:10:00.011860+00:00
18,A3,0.27,16.0,-16.0,LOSS,140.19409742519684,124.19409742519684,2026-04-27 08:06:48.232359+00:00,2026-04-27 08:10:00.014259+00:00
21,A5,0.62,31.0,17.440000000000005,WIN,124.19409742519684,141.63409742519684,2026-04-27 08:12:29.430315+00:00,2026-04-27 08:15:00.010529+00:00
22,A7,0.26,10.0,-10.0,LOSS,141.63409742519684,131.63409742519684,2026-04-27 08:12:59.520922+00:00,2026-04-27 08:15:00.024219+00:00
26,A3,0.26,13.0,-13.0,LOSS,131.63409742519684,118.63409742519684,2026-04-27 08:26:11.056480+00:00,2026-04-27 08:30:00.013557+00:00
47,A2,0.2,14.0,54.11,WIN,118.63409742519684,172.74409742519686,2026-04-27 09:07:57.921369+00:00,2026-04-27 09:10:00.016073+00:00
49,A5,0.61,29.0,-29.0,LOSS,172.74409742519686,143.74409742519686,2026-04-27 09:08:18.095774+00:00,2026-04-27 09:10:00.012866+00:00
55,A4,0.59,35.0,-35.0,LOSS,143.74409742519686,108.74409742519686,2026-04-27 09:37:13.101480+00:00,2026-04-27 09:40:00.014487+00:00
56,A4,0.63,35.0,-35.0,LOSS,108.74409742519686,73.74409742519686,2026-04-27 09:37:23.122329+00:00,2026-04-27 09:40:00.011592+00:00
61,A2,0.18,8.0,35.25333333333333,WIN,73.74409742519686,108.99743075853019,2026-04-27 10:02:07.265142+00:00,2026-04-27 10:05:00.012687+00:00
66,A7,0.26,9.0,24.659999999999997,WIN,108.99743075853019,133.65743075853018,2026-04-27 10:13:18.773593+00:00,2026-04-27 10:15:00.009821+00:00
67,A7,0.3,9.0,20.160000000000004,WIN,133.65743075853018,153.81743075853018,2026-04-27 10:13:28.795763+00:00,2026-04-27 10:15:00.014779+00:00
74,A5,0.56,38.0,27.780714285714282,WIN,153.81743075853018,181.59814504424446,2026-04-27 10:28:01.155924+00:00,2026-04-27 10:30:00.017372+00:00
78,A7,0.26,15.0,-15.0,LOSS,181.59814504424446,166.59814504424446,2026-04-27 10:32:12.022362+00:00,2026-04-27 10:35:00.013718+00:00
79,A2,0.21,21.0,-21.0,LOSS,166.59814504424446,145.59814504424446,2026-04-27 10:32:42.096225+00:00,2026-04-27 10:35:00.012665+00:00
80,A7,0.33,15.0,29.16818181818182,WIN,145.59814504424446,174.7663268624263,2026-04-27 10:33:02.151313+00:00,2026-04-27 10:35:00.016312+00:00
83,A7,0.29,14.0,-14.0,LOSS,174.7663268624263,160.7663268624263,2026-04-27 10:37:02.531219+00:00,2026-04-27 10:40:00.015850+00:00
84,A7,0.27,14.0,-14.0,LOSS,160.7663268624263,146.7663268624263,2026-04-27 10:37:12.552406+00:00,2026-04-27 10:40:00.012134+00:00
85,A7,0.28,14.0,-14.0,LOSS,146.7663268624263,132.7663268624263,2026-04-27 10:37:22.577444+00:00,2026-04-27 10:40:00.014505+00:00
92,A5,0.62,33.0,18.565161290322585,WIN,132.7663268624263,151.33148815274888,2026-04-27 10:48:14.284105+00:00,2026-04-27 10:50:00.016159+00:00
93,A5,0.56,33.0,24.125357142857133,WIN,151.33148815274888,175.456845295606,2026-04-27 10:48:24.321161+00:00,2026-04-27 10:50:00.012307+00:00
99,A7,0.36,14.0,23.776666666666664,WIN,175.456845295606,199.23351196227267,2026-04-27 10:57:05.270293+00:00,2026-04-27 11:00:00.014453+00:00
100,A7,0.35,14.0,24.86,WIN,199.23351196227267,224.09351196227266,2026-04-27 10:57:15.298180+00:00,2026-04-27 11:00:00.019650+00:00
101,A7,0.35,14.0,24.86,WIN,224.09351196227266,248.95351196227267,2026-04-27 10:57:25.340056+00:00,2026-04-27 11:00:00.013033+00:00
105,A7,0.3,21.0,47.040000000000006,WIN,248.95351196227267,295.9935119622727,2026-04-27 11:02:25.860122+00:00,2026-04-27 11:05:00.012077+00:00
106,A7,0.26,21.0,57.53999999999999,WIN,295.9935119622727,353.53351196227266,2026-04-27 11:02:35.880217+00:00,2026-04-27 11:05:00.012816+00:00
113,A7,0.38,30.0,-30.0,LOSS,353.53351196227266,323.53351196227266,2026-04-27 11:12:07.088095+00:00,2026-04-27 11:15:00.026588+00:00
114,A7,0.31,30.0,-30.0,LOSS,323.53351196227266,293.53351196227266,2026-04-27 11:12:17.123516+00:00,2026-04-27 11:15:00.012101+00:00
115,A2,0.2,42.0,-42.0,LOSS,293.53351196227266,251.53351196227266,2026-04-27 11:12:37.174790+00:00,2026-04-27 11:15:00.020771+00:00
116,A4,0.6,62.0,-62.0,LOSS,251.53351196227266,189.53351196227266,2026-04-27 11:17:48.037675+00:00,2026-04-27 11:20:00.013949999+00:00
120,A5,0.63,47.0,-47.0,LOSS,189.53351196227266,142.53351196227266,2026-04-27 11:32:21.335792+00:00,2026-04-27 11:35:00.013271+00:00
123,A7,0.31,12.0,-12.0,LOSS,142.53351196227266,130.53351196227266,2026-04-27 11:42:02.347949+00:00,2026-04-27 11:45:00.012227+00:00
124,A7,0.25,12.0,-12.0,LOSS,130.53351196227266,118.53351196227266,2026-04-27 11:43:02.469508+00:00,2026-04-27 11:45:00.011465+00:00
127,A7,0.36,10.0,-10.0,LOSS,118.53351196227266,108.53351196227266,2026-04-27 11:47:23.072900+00:00,2026-04-27 11:50:00.010404+00:00
144,A2,0.22,13.0,-13.0,LOSS,108.53351196227266,95.53351196227266,2026-04-27 12:07:56.627669+00:00,2026-04-27 12:10:00.013137+00:00
145,A2,0.2,13.0,-13.0,LOSS,95.53351196227266,82.53351196227266,2026-04-27 12:08:16.669958+00:00,2026-04-27 12:10:00.012385+00:00
156,A5,0.58,20.0,-20.0,LOSS,82.53351196227266,62.533511962272655,2026-04-27 12:17:37.940515+00:00,2026-04-27 12:20:00.013741+00:00
158,A4,0.56,20.0,-20.0,LOSS,62.533511962272655,42.533511962272655,2026-04-27 12:17:58.205131+00:00,2026-04-27 12:20:00.016664999+00:00
168,A7,0.25,3.0,-3.0,LOSS,42.533511962272655,39.533511962272655,2026-04-27 12:22:29.040686+00:00,2026-04-27 12:25:00.033350+00:00
171,A2,0.16,4.0,-4.0,LOSS,39.533511962272655,35.533511962272655,2026-04-27 12:27:40.210421+00:00,2026-04-27 12:30:00.024078+00:00
182,A8,0.65,7.0,-7.0,LOSS,35.533511962272655,28.533511962272655,2026-04-27 12:46:23.339118+00:00,2026-04-27 12:50:00.014312+00:00
187,A4,0.57,8.0,-8.0,LOSS,28.533511962272655,20.533511962272655,2026-04-27 12:48:13.647191+00:00,2026-04-27 12:50:00.017718+00:00
192,A4,0.61,5.0,2.941803278688525,WIN,20.533511962272655,23.47531524096118,2026-04-27 12:57:04.851905+00:00,2026-04-27 13:00:00.023029+00:00
193,A4,0.66,5.0,2.336363636363636,WIN,23.47531524096118,25.811678877324816,2026-04-27 12:57:34.934065+00:00,2026-04-27 13:00:00.013147+00:00
