trade_id,zone_id,entry_odds,bet_size,pnl,outcome,capital_before,capital_after,entry_time
1,A8,0.61,7.0,4.1185,WIN,50.0,54.12,2026-04-27 05:06:14.354353+00:00
2,A8,0.63,7.0,3.7633,WIN,54.12,57.88,2026-04-27 05:06:34.409635+00:00
3,A6,0.92,8.0,0.3983,WIN,57.88,58.28,2026-04-27 05:16:45.082717+00:00
5,A8,0.56,8.0,5.8486,WIN,58.28,64.13,2026-04-27 05:21:45.388240+00:00
7,A6,0.77,9.0,2.3061,WIN,64.13,66.43,2026-04-27 05:26:15.686100+00:00
8,A6,0.74,9.0,2.7681,WIN,66.43,69.2,2026-04-27 05:26:25.702137+00:00
9,A6,0.77,9.0,2.3061,WIN,69.2,71.51,2026-04-27 05:26:35.722815+00:00
12,A7,0.34,6.0,-6.0,LOSS,71.51,65.51,2026-04-27 05:42:16.823999+00:00
17,A3,0.31,1.0,-1.0,LOSS,65.51,64.51,2026-04-27 08:06:38.194296+00:00
18,A3,0.27,1.0,-1.0,LOSS,64.51,63.51,2026-04-27 08:06:48.232359+00:00
21,A5,0.62,6.0,3.3755,WIN,63.51,66.88,2026-04-27 08:12:29.430315+00:00
22,A7,0.26,3.0,-3.0,LOSS,66.88,63.88,2026-04-27 08:12:59.520922+00:00
26,A3,0.26,1.0,-1.0,LOSS,63.88,62.88,2026-04-27 08:26:11.056480+00:00
49,A5,0.61,7.0,-7.0,LOSS,62.88,55.88,2026-04-27 09:08:18.095774+00:00
55,A4,0.59,5.0,-5.0,LOSS,55.88,50.88,2026-04-27 09:37:13.101480+00:00
56,A4,0.63,5.0,-5.0,LOSS,50.88,45.88,2026-04-27 09:37:23.122329+00:00
66,A7,0.26,1.0,2.74,WIN,45.88,48.62,2026-04-27 10:13:18.773593+00:00
67,A7,0.3,1.0,2.24,WIN,48.62,50.86,2026-04-27 10:13:28.795763+00:00
74,A5,0.56,7.0,5.1175,WIN,50.86,55.98,2026-04-27 10:28:01.155924+00:00
78,A7,0.26,4.0,-4.0,LOSS,55.98,51.98,2026-04-27 10:32:12.022362+00:00
80,A7,0.33,4.0,7.7782,WIN,51.98,59.76,2026-04-27 10:33:02.151313+00:00
83,A7,0.29,5.0,-5.0,LOSS,59.76,54.76,2026-04-27 10:37:02.531219+00:00
84,A7,0.27,5.0,-5.0,LOSS,54.76,49.76,2026-04-27 10:37:12.552406+00:00
85,A7,0.28,5.0,-5.0,LOSS,49.76,44.76,2026-04-27 10:37:22.577444+00:00
92,A5,0.62,4.0,2.2503,WIN,44.76,47.01,2026-04-27 10:48:14.284105+00:00
93,A5,0.56,4.0,2.9243,WIN,47.01,49.93,2026-04-27 10:48:24.321161+00:00
99,A7,0.36,4.0,6.7933,WIN,49.93,56.73,2026-04-27 10:57:05.270293+00:00
100,A7,0.35,4.0,7.1029,WIN,56.73,63.83,2026-04-27 10:57:15.298180+00:00
101,A7,0.35,4.0,7.1029,WIN,63.83,70.93,2026-04-27 10:57:25.340056+00:00
105,A7,0.3,6.0,13.44,WIN,70.93,84.37,2026-04-27 11:02:25.860122+00:00
106,A7,0.26,6.0,16.44,WIN,84.37,100.81,2026-04-27 11:02:35.880217+00:00
113,A7,0.38,8.0,-8.0,LOSS,100.81,92.81,2026-04-27 11:12:07.088095+00:00
114,A7,0.31,8.0,-8.0,LOSS,92.81,84.81,2026-04-27 11:12:17.123516+00:00
116,A4,0.6,10.0,-10.0,LOSS,84.81,74.81,2026-04-27 11:17:48.037675+00:00
120,A5,0.63,7.0,-7.0,LOSS,74.81,67.81,2026-04-27 11:32:21.335792+00:00
123,A7,0.31,3.0,-3.0,LOSS,67.81,64.81,2026-04-27 11:42:02.347949+00:00
124,A7,0.25,3.0,-3.0,LOSS,64.81,61.81,2026-04-27 11:43:02.469508+00:00
127,A7,0.36,2.0,-2.0,LOSS,61.81,59.81,2026-04-27 11:47:23.072900+00:00
156,A5,0.58,4.0,-4.0,LOSS,59.81,55.81,2026-04-27 12:17:37.940515+00:00
158,A4,0.56,4.0,-4.0,LOSS,55.81,51.81,2026-04-27 12:17:58.205131+00:00
168,A7,0.25,2.0,-2.0,LOSS,51.81,49.81,2026-04-27 12:22:29.040686+00:00
182,A8,0.65,3.0,-3.0,LOSS,49.81,46.81,2026-04-27 12:46:23.339118+00:00
187,A4,0.57,3.0,-3.0,LOSS,46.81,43.81,2026-04-27 12:48:13.647191+00:00
192,A4,0.61,3.0,1.7651,WIN,43.81,45.58,2026-04-27 12:57:04.851905+00:00
