market_id,timestamp,slug,ttr_seconds,spread_pct,spread_blocked_reason,yes_price_t0,no_price_t0,clob_spread_t0,yes_depth_t0,no_depth_t0,depth_imbalance_t0,price_velocity_30s,depth_trend_30s,btc_realized_vol_prior_30m,ttr_at_signal,market_hour_utc,day_of_week,shadow_signal_yes,shadow_prob_yes,shadow_kelly_yes,shadow_tier_yes,shadow_signal_no,shadow_prob_no,shadow_kelly_no,shadow_tier_no,actual_outcome,signal_direction
0x006f5025d66d5a30a504564c3ec4f422e9251ea616d22e17c826be00876b7bdd,2026-06-08T14:57:31.549799+00:00,btc-updown-5m-1780930500,148.5,0.155675,TOO_WIDE,0.01,0.01,0.9,1026.0,174.5,0.709289,-0.00366667,0.0,0.369436,148.5,14,0,SKIP,0.484953,0.4783,LOW,SKIP,0.424873,0.4174,LOW,WIN,YES
0x0108e4c1960b412e7692160cd151b86771aefd1a9a6ae07f6ed96b00b135a408,2026-06-11T02:35:18.368722+00:00,btc-updown-5m-1781145300,281.6,0.127185,TOO_WIDE,0.01,0.01,0.61,462.13,352.09,0.135139,-0.01633333,0.0,0.387426,281.6,2,3,SKIP,0.396239,0.3884,LOW,SKIP,0.318781,0.31,LOW,WIN,YES
0x01cd9df90400a147e0ef1db94da8e2c3eb3234161b515ad4b182d09820044c78,2026-06-11T02:45:41.313289+00:00,btc-updown-5m-1781145900,258.7,0.134023,TOO_WIDE,0.01,0.01,0.34,412.75,467.62,-0.062321,-0.02166667,0.0,0.443256,258.7,2,3,SKIP,0.318781,0.31,LOW,SKIP,0.376513,0.3685,LOW,WIN,NO
0x02b6f199b4139c5409481ac9cbbbd8693e394f21829a6046b05e147566c5c64b,2026-06-11T03:47:39.997374+00:00,btc-updown-5m-1781149500,140.0,0.155601,TOO_WIDE,0.01,0.01,0.74,1109.31,24.61,0.95659,-0.008,0.0,0.452641,140.0,3,3,SKIP,0.377044,0.369,LOW,SKIP,0.309498,0.3006,LOW,WIN,YES
0x0429f559a6651af66144ddb9ad103cde686a62811cdab7d89151e98cc6829e9b,2026-06-08T13:51:36.577869+00:00,btc-updown-5m-1780926600,203.4,0.124003,TOO_WIDE,0.01,0.01,0.59,379.91,771.19,-0.339916,-0.01266667,0.0,0.841661,203.4,13,0,SKIP,0.409156,0.4015,LOW,SKIP,0.522515,0.5163,LOW,LOSE,NO
0x063161ffd8e0ac6d5200841ed24a1248b1f352109db7e6af4f8a83aa4777e91f,2026-06-08T13:35:25.172070+00:00,btc-updown-5m-1780925700,274.8,0.128524,TOO_WIDE,0.01,0.01,0.57,567.78,763.04,-0.146727,-0.01366667,0.0,0.28479,274.8,13,0,SKIP,0.409156,0.4015,LOW,SKIP,0.522515,0.5163,LOW,WIN,NO
0x07abf05b3121113d0725b590d8945d2bfdd48d914637f29ea43bba2bcc5da6bd,2026-06-10T19:37:40.411405+00:00,btc-updown-5m-1781120100,139.6,0.128049,TOO_WIDE,0.01,0.01,0.62,169.11,759.64,-0.635839,-0.01,0.0,0.568894,139.6,19,2,SKIP,0.304858,0.2959,LOW,SKIP,0.328163,0.3195,LOW,LOSE,NO
0x09c9d4ae0e1835d3284de57f77268f6d8e96072fc460e17bfa7abec58c057c6c,2026-06-10T12:36:07.433157+00:00,btc-updown-5m-1781094900,232.6,0.12263,TOO_WIDE,0.01,0.01,0.34,327.88,740.9,-0.386446,-0.02266667,0.0,0.903062,232.6,12,2,SKIP,0.29875,0.2897,LOW,SKIP,0.356572,0.3483,LOW,LOSE,NO
0x0ad040541dac76c4817ffc7613e40960c2954e7c9ef7ae5875f4aac011224a88,2026-06-11T01:42:01.820262+00:00,btc-updown-5m-1781142000,178.2,0.200266,TOO_WIDE,0.01,0.01,0.77,402.4,24.87,0.883582,-0.00866667,0.0,0.463272,178.2,1,3,SKIP,0.362159,0.3539,LOW,SKIP,0.309498,0.3006,LOW,WIN,YES
0x0b6564af44ac3cde571f6679cbfdb371ca89ed3ed9191e132aeeb9a7ade8b9cb,2026-06-10T22:25:24.995723+00:00,btc-updown-5m-1781130300,275.0,0.129138,TOO_WIDE,0.01,0.01,0.39,581.01,408.26,0.174622,-0.01933333,0.0,0.574034,275.0,22,2,SKIP,0.371352,0.3632,LOW,SKIP,0.29875,0.2897,LOW,LOSE,YES
0x0c45a652e37af3dfa5d51bd06ae8def446bbc7ae3008300452e1a425a327fb61,2026-06-08T10:34:19.680810+00:00,btc-updown-5m-1780914600,40.3,0.16051,TOO_WIDE,0.495,0.495,0.01,100.0,100.0,0.0,0.01516667,0.0,0.232716,40.3,10,0,SKIP,0.373374,-0.6644,LOW,SKIP,0.373374,-0.6644,LOW,WIN,YES
0x0d33d653de5d41a24ba9d8507b99252d3598acb3d1a590b571f9f188af08ceca,2026-06-10T23:20:37.726154+00:00,btc-updown-5m-1781133600,262.3,0.130519,TOO_WIDE,0.01,0.01,0.71,1562.49,23.33,0.97058,-0.01166667,0.0,0.315566,262.3,23,2,SKIP,0.348067,0.3396,LOW,SKIP,0.294106,0.285,LOW,WIN,YES
0x0d540cead337859d9fb205e4841ea20f45e8ca96a88c96ccad1383c93d988d29,2026-06-10T19:46:58.131256+00:00,btc-updown-5m-1781120700,181.9,0.148582,TOO_WIDE,0.01,0.01,0.24,83.0,2107.67,-0.924224,-0.02833333,0.0,0.419571,181.9,19,2,SKIP,0.304858,0.2959,LOW,SKIP,0.337879,0.3293,LOW,WIN,NO
0x0e28546e9036e9cefbec2c13de6dc8014a4042f04cf7fee498ed5c65916c9de1,2026-06-08T11:36:37.600238+00:00,btc-updown-5m-1780918500,202.4,0.134914,TOO_WIDE,0.01,0.01,0.91,1651.46,119.03,0.865536,-0.00166667,0.0,0.574958,202.4,11,0,SKIP,0.501357,0.4949,LOW,SKIP,0.430596,0.4232,LOW,WIN,YES
0x0ef38ea42e4eca758ba2ba0cea70077e33497b65edf8fa3779aa7b07621a3046,2026-06-10T21:11:43.810328+00:00,btc-updown-5m-1781125800,196.2,0.168759,TOO_WIDE,0.01,0.01,0.21,86.92,651.05,-0.764446,-0.025,0.0,0.37406,196.2,21,2,SKIP,0.304858,0.2959,LOW,SKIP,0.323394,0.3147,LOW,WIN,NO
0x0fa403aea7b3159b112a66e8cb0896cde8f196e70697ec02a6cb95651d9b500d,2026-06-07T08:54:27.265119+00:00,btc-updown-5m-1780822200,32.7,0.131097,TOO_WIDE,0.495,0.495,0.01,100.0,100.0,0.0,-0.00783333,0.0,0.533665,32.7,8,6,SKIP,0.575065,-0.1287,MEDIUM,SKIP,0.575065,-0.1287,MEDIUM,WIN,YES
0x1077d73fefb2abd56959fb87f54f728e96e7942abd0f072270b45aa0cc2207a9,2026-06-09T18:57:03.729709+00:00,btc-updown-5m-1781031300,176.3,0.136886,TOO_WIDE,0.01,0.01,0.83,578.05,250.76,0.394897,-0.00433333,0.0,0.427925,176.3,18,1,SKIP,0.385205,0.3773,LOW,SKIP,0.322652,0.3139,LOW,WIN,YES
0x12eccc698fe83a53969a3662435db77bf2f1f7b7f3cdcf3cbca99416fe504951,2026-06-06T16:40:36.489429+00:00,btc-updown-5m-1780764000,263.5,0.121321,TOO_WIDE,0.01,0.01,0.64,980.42,165.14,0.711684,-0.01133333,0.0,0.39602,263.5,16,5,SKIP,0.323963,0.3152,LOW,SKIP,0.300994,0.292,LOW,WIN,YES
0x13439d8440c63eeb8bc817400c4a9e760372d898757f4d2281e1628a4a4e9be0,2026-06-11T04:40:02.755252+00:00,btc-updown-5m-1781152800,297.2,0.466809,TOO_WIDE,0.01,0.01,0.98,499.65,19.31,0.925577,0.0,0.0,0.267037,297.2,4,3,SKIP,0.396079,0.3883,LOW,SKIP,0.325213,0.3165,LOW,LOSE,YES
0x13bb344d8c0793c2eab9f375e96e56ce4c7acd8eba62681dcc336b9455022926,2026-06-10T22:12:08.650989+00:00,btc-updown-5m-1781129400,171.3,0.12186,TOO_WIDE,0.01,0.01,0.32,208.97,305.53,-0.187685,-0.02233333,0.0,1.055304,171.3,22,2,SKIP,0.29875,0.2897,LOW,SKIP,0.371352,0.3632,LOW,WIN,NO
0x147ebb43af25a1eccacd516a18d2ffbebab899c8cdd89360d900397cbd2efb7b,2026-06-07T02:54:31.620076+00:00,btc-updown-5m-1780800600,28.4,0.120809,TOO_WIDE,0.495,0.495,0.01,100.0,100.0,0.0,-0.00083333,0.0,0.464018,28.4,2,6,SKIP,0.622026,-0.0039,MEDIUM,SKIP,0.622026,-0.0039,MEDIUM,WIN,YES
0x14c8f51b0ef1d14afbafc35f142e2365151d15941883752edd469c3fe74409df,2026-06-11T01:26:07.347683+00:00,btc-updown-5m-1781141100,232.7,0.160605,TOO_WIDE,0.01,0.01,0.54,324.62,735.16,-0.387378,-0.016,0.0,0.36807,232.7,1,3,SKIP,0.318781,0.31,LOW,SKIP,0.380608,0.3726,LOW,WIN,NO
0x1513d23b8392306afc03ce2e5041dc2f6301795a9fa0f06d2a3a5fa0f86623f9,2026-06-10T11:21:07.913358+00:00,btc-updown-5m-1781090400,232.1,0.143318,TOO_WIDE,0.01,0.01,0.79,664.45,143.67,0.644427,-0.00566667,0.0,1.238179,232.1,11,2,SKIP,0.32991,0.3213,LOW,SKIP,0.304858,0.2959,LOW,WIN,YES
0x181b00db9337c88953091eea945761b20348dbdc910ffe2eaad36ad2dbf1ac02,2026-06-11T16:04:29.132817+00:00,btc-updown-5m-1781193600,30.9,0.121631,TOO_WIDE,0.495,0.495,0.01,100.0,100.0,0.0,-0.01616667,0.0,0.571984,30.9,16,3,SKIP,0.603515,-0.0531,MEDIUM,SKIP,0.603515,-0.0531,MEDIUM,LOSE,YES
0x1942cfd66fbd70be6090ffb48085f3fb62a69085a3cf158f394791633696bae2,2026-06-11T13:19:03.794677+00:00,btc-updown-5m-1781183700,56.2,0.127975,TOO_WIDE,0.01,0.01,0.75,1196.91,19.25,0.968343,-0.00833333,0.0,0.727256,56.2,13,3,SKIP,0.348067,0.3396,LOW,SKIP,0.294106,0.285,LOW,WIN,YES
0x19d3439f964053fe47e4bb8bdb068feb227f15837ff9bb921c5c7837768e31ac,2026-06-11T01:30:02.258910+00:00,btc-updown-5m-1781141400,297.7,0.122335,TOO_WIDE,0.01,0.01,0.18,48.18,1243.16,-0.925382,0.0,0.0,0.356052,297.7,1,3,SKIP,0.325213,0.3165,LOW,SKIP,0.380557,0.3726,LOW,WIN,NO
0x1a4528eb46d34fb693c3a48d563d43b512364e12cc86c5e30b2f1de9640bd0e3,2026-06-08T20:12:53.710838+00:00,btc-updown-5m-1780949400,126.3,0.13286,TOO_WIDE,0.01,0.01,0.84,1277.45,106.67,0.845863,-0.00466667,0.0,0.274019,126.3,20,0,SKIP,0.487162,0.4805,LOW,SKIP,0.417402,0.4099,LOW,LOSE,YES
0x1ac7466ef31c3d7d917c5160cc0584ed1f7cb832b288b59fddf7d8f2a0e6af5b,2026-06-08T12:49:04.018800+00:00,btc-updown-5m-1780922700,56.0,0.134162,TOO_WIDE,0.01,0.01,0.36,27.64,584.68,-0.909721,-0.02366667,0.0,0.294095,56.0,12,0,SKIP,0.40283,0.3951,LOW,SKIP,0.491428,0.4849,LOW,WIN,NO
0x1e41214c1e3fe195c784714749a4b061314588d7bb034c3df257201b3f289e3d,2026-06-09T19:32:06.150767+00:00,btc-updown-5m-1781033400,173.8,0.140888,TOO_WIDE,0.01,0.01,0.92,4137.55,18.9,0.990906,-0.00266667,0.0,0.230987,173.8,19,1,SKIP,0.373628,0.3655,LOW,SKIP,0.315498,0.3067,LOW,WIN,YES
0x1fa34431c583792db667a3a7484615d9554fdd08172e626028a60080f9044661,2026-06-09T15:57:09.001640+00:00,btc-updown-5m-1781020500,171.0,0.18001,TOO_WIDE,0.01,0.01,0.42,83.58,52.05,0.232408,-0.01933333,0.0,0.568626,171.0,15,1,SKIP,0.399688,0.3919,LOW,SKIP,0.287879,0.2787,LOW,LOSE,YES
0x20963f71f4de7f0b5809a5c0d55d3a9b60db9bfd1cf007fe5e3d5fd07af8ffab,2026-06-11T00:05:11.284334+00:00,btc-updown-5m-1781136300,288.7,0.120107,TOO_WIDE,0.01,0.01,0.47,176.14,529.72,-0.500912,-0.01666667,0.0,0.161305,288.7,0,3,SKIP,0.396175,0.3884,LOW,SKIP,0.396175,0.3884,LOW,WIN,YES
0x20ac3cc8becc7db38133d109679a373a7b2021c790c3709a5edeee6d567f2b7a,2026-06-07T22:49:21.172940+00:00,btc-updown-5m-1780872300,38.8,0.126601,TOO_WIDE,0.01,0.01,0.34,142.39,261.89,-0.295602,-0.02333333,0.0,0.658567,38.8,22,6,SKIP,0.300994,0.292,LOW,SKIP,0.368554,0.3604,LOW,LOSE,NO
0x23185461a9cdb110ac02449738b22e7dcb9cb8bb901878ceb21ceb00506d8487,2026-06-10T21:52:03.804458+00:00,btc-updown-5m-1781128200,176.2,0.166463,TOO_WIDE,0.01,0.01,0.03,48.01,8008.91,-0.988081,-0.03066667,0.0,0.345238,176.2,21,2,SKIP,0.285572,0.2763,LOW,SKIP,0.337751,0.3292,LOW,WIN,NO
0x251663c7125061f8210fd091f04311ccdd1d6c9c6d89c377849cfa2136de354b,2026-06-11T03:21:54.287147+00:00,btc-updown-5m-1781148000,185.7,0.151522,TOO_WIDE,0.01,0.01,0.53,170.6,682.64,-0.600113,-0.01733333,0.0,0.474588,185.7,3,3,SKIP,0.338773,0.3302,LOW,SKIP,0.364802,0.3566,LOW,LOSE,NO
